x,lax_u1,lax_u2,lax_u3,box_u1,box_u2,box_u3,exact_u1,exact_u2,exact_u3
0.54,2.470649180155598,-0.8646004729848644,-0.5065422428201034,2.443125647176482,-0.8508387064953064,-0.521644940944194,2.443119024421995,-0.8508353951180631,-0.5216472498415313
0.5425,2.476517173747841,-0.8758300517174853,-0.4975712758746419,2.447827608244936,-0.8614852689660328,-0.5132561119192889,2.447820903675608,-0.8614819166813688,-0.5132584452828055
0.545,2.482835182081772,-0.8873069941201901,-0.4883300804538918,2.452600639795833,-0.8721897229772204,-0.5047862756488238,2.45259385476313,-0.8721863304608688,-0.5047886327571748
0.5475,2.488680409819248,-0.8985693894342949,-0.4792800513391036,2.457444447409365,-0.8829514082293531,-0.4962359545899881,2.457437583266461,-0.8829479761579013,-0.4962383347225755
0.55,2.494934693295984,-0.9100576413906541,-0.469981170926752,2.462358732300035,-0.8937696608926796,-0.4876056761645854,2.462351790401599,-0.8937661899434619,-0.4876080786016604
0.5525,2.500768049001326,-0.9213562424812783,-0.4608479185345218,2.467343191334966,-0.9046438136480983,-0.4788959727265597,2.467336173037113,-0.9046403044991717,-0.4788983967492819
0.555,2.506973246684878,-0.9328610605444617,-0.4514855184566052,2.472397517052716,-0.9155731957283807,-0.4701073815291101,2.47239042371279,-0.915569649058418,-0.4701098264196424
0.5575,2.512804820891057,-0.9441988445639529,-0.4422650296503802,2.477521397682196,-0.9265571329595228,-0.4612404446915669,2.47751423065865,-0.9265535494477498,-0.4612429097331571
0.5600000000000001,2.518974783584518,-0.9557250810136395,-0.4328336441545647,2.482714517161847,-0.9375949478023042,-0.4522957091659812,2.482707277814149,-0.9375913281284552,-0.4522981936430179
0.5625,2.524813531607909,-0.9671044476184677,-0.4235219166508498,2.487976555159249,-0.9486859593941374,-0.443273726703321,2.487969244847664,-0.9486823042383449,-0.4432762299014416
0.5650000000000001,2.530961243785213,-0.9786565119382362,-0.4140164388328181,2.493307187090784,-0.9598294835910218,-0.4341750538194977,2.493299807176293,-0.9598257936337763,-0.4341775750256516
0.5675,2.536814363147551,-0.9900789725126857,-0.4046091911609552,2.4987060841417,-0.9710248330097602,-0.4250002517610116,2.498698635985833,-0.9710211089318265,-0.4250027902635354
0.5700000000000001,2.542951829510869,-1.001660775182604,-0.3950248356234327,2.504172913286394,-0.9822713170703659,-0.4157498864703338,2.504165398251104,-0.9822675595527208,-0.4157524415590406
0.5725,2.548823590065932,-1.013126368417145,-0.3855169363531481,2.509707337308942,-0.9935682420386501,-0.406424528550992,2.509699756756449,-0.9935644517624036,-0.4064270995172435
0.5750000000000001,2.554961650465974,-1.024741228890054,-0.3758491572167329,2.515309014823902,-1.004914911069018,-0.397024753232387,2.515301370116577,-1.004911088715356,-0.3970273393691724
0.5775,2.560851238691256,-1.036247443444395,-0.3662335547383753,2.520977600297396,-1.016310624247465,-0.3875511403342945,2.520969892797573,-1.016306770497554,-0.3875537409363053
0.58,2.56699925275969,-1.047897932980384,-0.3564778904702035,2.526712744068348,-1.027754678634713,-0.3780042742311195,2.526704975138272,-1.027750794169675,-0.3780068885948171
0.5825,2.5728969160283,-1.059437780138693,-0.3467436868202686,2.532514092370191,-1.039246368309639,-0.3683847438158016,2.532506263371777,-1.039242453810432,-0.3683873712395347
0.585,2.579062227469096,-1.071125454471021,-0.3368954876696172,2.538381287352529,-1.050784984412738,-0.3586931424635708,2.538373399647297,-1.050781040560122,-0.358695782247598
0.5875,2.584942617101907,-1.082684140189204,-0.3270246064045396,2.544313967103333,-1.062369815189917,-0.3489300679952616,2.544306022052245,-1.062365842664373,-0.3489327194418692
0.59,2.591129667778143,-1.094409097089829,-0.3170785803383872,2.550311765671183,-1.074000146036349,-0.3390961226405042,2.550303764634505,-1.07399614551801,-0.3390987850540473
0.5925,2.596940788788164,-1.105958497390721,-0.3070402330222143,2.556374313087917,-1.085675259540598,-0.3291919130005184,2.556366257425072,-1.085671231709175,-0.3291945856875287
0.595,2.603149709539593,-1.117718672602935,-0.2969897244484031,2.562501235391381,-1.097394435528829,-0.319218050010741,2.562493126460841,-1.097390381063559,-0.3192207322799847
0.5975,2.608795352109649,-1.129208549839819,-0.2867316138810233,2.568692154648544,-1.109156951109267,-0.3091751489031047,2.568683993807659,-1.109152870688825,-0.3091778400656714
0.6,2.615019823209492,-1.140998647832117,-0.276567512416302,2.574946688978753,-1.120962080716747,-0.2990638291681305,2.574938477583673,-1.120957975019207,-0.2990665285374887
0.6025,2.620332931084104,-1.152343335410886,-0.2660025007862573,2.58126445257732,-1.132809096157493,-0.2888847145166307,2.581256191982867,-1.132804965860267,-0.2888874214087636
0.605,2.626557103601924,-1.164153290585338,-0.2557116764781575,2.587645055739138,-1.144697266653945,-0.2786384328412448,2.587636747298843,-1.144693112433798,-0.278641146574765
0.6075,2.63126151400801,-1.175212563452479,-0.2446986363206236,2.594088104882397,-1.156625858889673,-0.2683256161774538,2.594079749948901,-1.156621681422925,-0.2683283360739929
0.61,2.637455849180246,-1.187025460358301,-0.2342618306131061,2.60059320257142,-1.168594137053889,-0.2579469006639725,2.600584802498296,-1.168589937017327,-0.257949626049177
0.6125,2.641114650431655,-1.197578714332079,-0.2225798021969058,2.607159947536808,-1.180601362884655,-0.2475029265012343,2.607151503684734,-1.180597140958618,-0.2475056567080366
0.615,2.647230710887029,-1.209368183807838,-0.2119689922589267,2.613787934685828,-1.192646795707237,-0.2369943379047655,2.613779448443167,-1.192642552585907,-0.2369970722838025
0.6175,2.649181643184637,-1.219082136508413,-0.1992848606725837,2.620476755082256,-1.204729692457223,-0.2264217830428924,2.620468227930726,-1.204725428881458,-0.2264245209954535
0.62,2.65514619757074,-1.230809408525922,-0.1884602785090901,2.627225995832857,-1.216849307656981,-0.2157859139273111,2.62721742955199,-1.216845024516547,-0.2157886550077595
0.6225000000000001,2.654428563562178,-1.239201555186312,-0.174292204205746,2.634035239696383,-1.229004893253414,-0.2050873861647451,2.634026636984426,-1.229000591897436,-0.2050901303910355
0.625,2.66013785921147,-1.250812595715181,-0.1631994384633132,2.640904063891913,-1.241195698055403,-0.194326858307674,2.640895430204024,-1.241191381211458,-0.1943296070806679
0.6275000000000001,2.655421491723756,-1.257215693579553,-0.1468813154095643,2.647832036655823,-1.253420966045586,-0.1835049900792748,2.647823385511275,-1.253416640473313,-0.183507748836428
0.63,2.660737166268909,-1.268639160927244,-0.1354492318688487,2.654818707647521,-1.265679931616551,-0.1726224375222473,2.654810075557254,-1.265675615571417,-0.1726252232014998
0.6325000000000001,2.650271600663836,-1.272175815961356,-0.1161052474195358,2.661863582025272,-1.277971806642074,-0.1616798399822822,2.661855069370025,-1.277967550314451,-0.1616827014613331
0.635,2.655020312902427,-1.2833228767386,-0.1042457688045446,2.668966052457275,-1.290295746516023,-0.1506777860590286,2.668957932381164,-1.290291686477968,-0.1506808586022121
0.6375000000000001,2.636629826651884,-1.28290306395083,-0.08078789695692157,2.676125226128123,-1.302650763688949,-0.1396167270542125,2.676118226452648,-1.302647263851212,-0.1396203732696264
0.64,2.640609057487899,-1.293670294076013,-0.0683988678974593,2.683339498108325,-1.315035514386225,-0.1284967636010198,2.683335509903786,-1.315033520283956,-0.1285019277264071
0.6425,2.611763808739936,-1.288026927334259,-0.03956241212256728,2.690605532937182,-1.327447789432882,-0.1173171363998875,2.690609337538546,-1.327449691733564,-0.1173262078106527
0.645,2.6147561068327,-1.298303435391957,-0.02653468695131611,2.697915915236484,-1.339883339593849,-0.1060750514692153,2.697939260672986,-1.339895012312101,-0.1060939028934086
0.6475,2.572747429989873,-1.286080015747045,0.009034098115988098,2.705253922025634,-1.352333261764925,-0.09476306624665409,2.705324827162908,-1.352368714333563,-0.09480570583614889
0.65,2.574544355319357,-1.295759415305042,0.02280471781586357,2.712582328393539,-1.364778401842133,-0.0833634923683737,2.712765581431794,-1.36487002836126,-0.08346231294804729
0.6525,2.516779673482367,-1.275657487747004,0.06640119567149527,2.719820403100931,-1.377177852556286,-0.07183689341311594,2.720261064498859,-1.37739818325525,-0.07206442394299883
0.655,2.517214680208088,-1.284654339320271,0.08099755282046306,2.726798698217983,-1.389446348325218,-0.06009947966380558,2.727810814007404,-1.389952406219929,-0.06061274189649113
0.6575,2.441622681140279,-1.255636081295168,0.1336561418509237,2.733174456035298,-1.401411968742677,-0.04798081150535716,2.735414364253325,-1.402531922851691,-0.0491079732022176
0.66,2.440609353804375,-1.263905010981971,0.1491206376936383,2.73828181486413,-1.412741241511848,-0.03514890226685619,2.743071246213816,-1.415135957186691,-0.0375508275284987
0.6625,2.346111205140936,-1.225428840531024,0.2113792273838943,2.740882903208673,-1.422814689564893,-0.02098576524945117,2.750780987576341,-1.427763731748727,-0.02594201777452732
0.665,2.343680228354385,-1.232983025390505,0.2276953671424186,2.738784694821553,-1.430535258624089,-0.004395841195615424,2.758543112767725,-1.440414467597175,-0.01428226002635935
0.6675,2.230645189006973,-1.185231407386781,0.2993675351349863,2.728304355053801,-1.434060990410196,0.01646132859481331,2.76635714298353,-1.45308738437506,-0.002572273512781109
0.67,2.226971197953534,-1.192156001225167,0.316446531704932,2.703621157251482,-1.430480980874141,0.04449514412530631,2.774222596217564,-1.465781700357181,0.009187219439080296
0.6725,2.09754744425529,-1.136200860980167,0.3964561523471246,2.656165930867295,-1.41551010428617,0.08398922270643261,2.782138987291626,-1.478496632498336,0.02099549344830509
0.675,2.092956624338381,-1.142656794708093,0.4141331537894817,2.574377167921293,-1.383367066499549,0.1407233457850345,2.790105827885417,-1.491231396481611,0.03285182012493526
0.6775,1.951164667919983,-1.08050622744343,0.5004677096108985,2.444365833301387,-1.327106810134132,0.2216410538540926,2.798122626566693,-1.503985206766785,0.04475546811488507
0.68,1.946116490131291,-1.086721077293635,0.5185109570992343,2.252176828919921,-1.23975124668795,0.3337189144346839,2.806188888821533,-1.516757276638756,0.05670570314508538
0.6825,1.79762362258895,-1.021206571008122,0.6083343356513448,1.988221998377106,-1.1165057589022,0.4817500198047358,0.8143041170848992,-0.5295468182560972,1.068701788068747
0.6850000000000001,1.792665441745496,-1.027451858186745,0.6264678882797023,1.653841297474752,-0.9580397860513729,0.6650634018030928,0.8224678107712815,-0.5423530426996376,1.080742982910838
0.6875,1.644225507822781,-0.96194818077972,0.7164005134607783,1.26866330860312,-0.7741670811698891,0.8738437746970601,0.830679466305597,-0.5551751600211278,1.092828544913749
0.6900000000000001,1.639925805744888,-0.9685059935872937,0.7343376488803085,0.875658776939637,-0.5863724791846683,1.086604767144487,0.8389385771542659,-0.5680123792919828,1.104957728583082
0.6925,1.498555617204447,-0.9065194003260578,0.8208682906607648,0.5392968089359773,-0.4268899961918228,1.271110823011738,0.8472446338563981,-0.5808639086520332,1.117129785733658
0.6950000000000001,1.495428329556882,-0.913644558109208,0.8383493622099127,0.3324605369358311,-0.3321606617986823,1.390919369126803,0.8555971240553136,-0.5937289553584235,1.129343965535658
0.6975,1.3674741303478,-0.8583460247433372,0.9183019194743128,0.311308644665514,-0.330263281902194,1.417950052595973,0.8639955325300777,-0.6066067258344758,1.141599514560932
0.7000000000000001,1.36591029952445,-0.8662319048672241,0.9351285486563684,0.4844499671181459,-0.4255017386640723,1.347897440924186,0.8724393412272762,-0.6194964257186374,1.153895676829495
0.7025,1.256204604424801,-0.8200355474793966,1.006083644104776,0.7912038876821048,-0.5875351891080486,1.211100823513405,0.8809280292930249,-0.6323972599135086,1.166231693856135
0.705,1.256426766618347,-0.8287912793915122,1.022141544400623,1.107546515387192,-0.7543511537759343,1.069571123102389,0.8894610731050576,-0.6453084326348674,1.178606804697212
0.7075,1.167725606417336,-0.7930729775169123,1.082717915020336,1.290660422961053,-0.854540385788771,0.9947160268015373,0.8980379463050406,-0.6582291474607647,1.191020245997596
