h;error
0.000001285000000;0.000000000004480
0.000001286000000;0.000000000001672
0.000001287000000;0.000000000001566
0.000001288000000;0.000000000001459
0.000001289000000;0.000000000001339
0.000001290000000;0.000000000001444
0.000001291000000;0.000000000004235
0.000001292000000;0.000000000004337
0.000001293000000;0.000000000004439
0.000001294000000;0.000000000006184
0.000001295000000;0.000000000003395
0.000001296000000;0.000000000003288
0.000001297000000;0.000000000003181
0.000001298000000;0.000000000000400
0.000001299000000;0.000000000000296
0.000001300000000;0.000000000000191
0.000001301000000;0.000000000002581
0.000001302000000;0.000000000002683
0.000001303000000;0.000000000005448
0.000001304000000;0.000000000005548
0.000001305000000;0.000000000004986
0.000001306000000;0.000000000004879
0.000001307000000;0.000000000002116
0.000001308000000;0.000000000000642
0.000001309000000;0.000000000001905
0.000001310000000;0.000000000001800
0.000001311000000;0.000000000000951
0.000001312000000;0.000000000003699
0.000001313000000;0.000000000001157
0.000001314000000;0.000000000003900
0.000001315000000;0.000000000003915
0.000001316000000;0.000000000003809
0.000001317000000;0.000000000003703
0.000001318000000;0.000000000000964
0.000001319000000;0.000000000000860
0.000001320000000;0.000000000000757
0.000001321000000;0.000000000000653
0.000001322000000;0.000000000002074
0.000001323000000;0.000000000002175
0.000001324000000;0.000000000002276
0.000001325000000;0.000000000004996
0.000001326000000;0.000000000002755
0.000001327000000;0.000000000002650
0.000001328000000;0.000000000002546
0.000001329000000;0.000000000000169
0.000001330000000;0.000000000000271
0.000001331000000;0.000000000000373
0.000001332000000;0.000000000003079
0.000001333000000;0.000000000003179
0.000001334000000;0.000000000003278
0.000001335000000;0.000000000003378
0.000001336000000;0.000000000006074
0.000001337000000;0.000000000004209
0.000001338000000;0.000000000004104
0.000001339000000;0.000000000004000
0.000001340000000;0.000000000001306
0.000001341000000;0.000000000001383
0.000001342000000;0.000000000001484
0.000001343000000;0.000000000001584
0.000001344000000;0.000000000001684
0.000001345000000;0.000000000004363
0.000001346000000;0.000000000004461
0.000001347000000;0.000000000004558
0.000001348000000;0.000000000005639
0.000001349000000;0.000000000002962
0.000001350000000;0.000000000000290
0.000001351000000;0.000000000000189
0.000001352000000;0.000000000000088
0.000001353000000;0.000000000000012
0.000001354000000;0.000000000002675
0.000001355000000;0.000000000002773
0.000001356000000;0.000000000002872
0.000001357000000;0.000000000002970
0.000001358000000;0.000000000004597
0.000001359000000;0.000000000001941
0.000001360000000;0.000000000001839
0.000001361000000;0.000000000001738
0.000001362000000;0.000000000001637
0.000001363000000;0.000000000001009
0.000001364000000;0.000000000001108
0.000001365000000;0.000000000001207
0.000001366000000;0.000000000001306
0.000001367000000;0.000000000001404
0.000001368000000;0.000000000004039
0.000001369000000;0.000000000006002
0.000001370000000;0.000000000003366
0.000001371000000;0.000000000003265
0.000001372000000;0.000000000000634
0.000001373000000;0.000000000000535
0.000001374000000;0.000000000002090
0.000001375000000;0.000000000002187
0.000001376000000;0.000000000002284
0.000001377000000;0.000000000002381
0.000001378000000;0.000000000002478
0.000001379000000;0.000000000005091
0.000001380000000;0.000000000004871
0.000001381000000;0.000000000002257
0.000001382000000;0.000000000002157
0.000001383000000;0.000000000002057
0.000001384000000;0.000000000001957
0.000001385000000;0.000000000001858
0.000001386000000;0.000000000003248
0.000001387000000;0.000000000003344
