x,ReR,ImR,AbsR
-46.810000000000002,4.9779542642611965,-0,4.9779542642611965
-46.782499999999999,4.9775092166086186,-0,4.9775092166086186
-46.755000000000003,4.9770637039571675,-0,4.9770637039571675
-46.727499999999999,4.9766177255794615,-0,4.9766177255794615
-46.700000000000003,4.9761712807466161,-0,4.9761712807466161
-46.672499999999999,4.9757243687282191,-0,4.9757243687282191
-46.645000000000003,4.9752769887923396,-0,4.9752769887923396
-46.6175,4.9748291402055242,-0,4.9748291402055242
-46.590000000000003,4.9743808222327859,-0,4.9743808222327859
-46.5625,4.9739320341376079,-0,4.9739320341376079
-46.534999999999997,4.9734827751819317,-0,4.9734827751819317
-46.5075,4.9730330446261597,-0,4.9730330446261597
-46.479999999999997,4.9725828417291513,-0,4.9725828417291513
-46.452500000000001,4.9721321657482118,-0,4.9721321657482118
-46.424999999999997,4.9716810159390921,-0,4.9716810159390921
-46.397500000000001,4.9712293915559922,-0,4.9712293915559922
-46.369999999999997,4.9707772918515438,-0,4.9707772918515438
-46.342500000000001,4.9703247160768163,-0,4.9703247160768163
-46.314999999999998,4.9698716634813014,-0,4.9698716634813014
-46.287500000000001,4.9694181333129333,-0,4.9694181333129333
-46.259999999999998,4.9689641248180534,-0,4.9689641248180534
-46.232500000000002,4.9685096372414259,-0,4.9685096372414259
-46.204999999999998,4.9680546698262278,-0,4.9680546698262278
-46.177500000000002,4.9675992218140479,-0,4.9675992218140479
-46.149999999999999,4.9671432924448755,-0,4.9671432924448755
-46.122500000000002,4.9666868809571074,-0,4.9666868809571074
-46.094999999999999,4.9662299865875319,-0,4.9662299865875319
-46.067500000000003,4.9657726085713305,-0,4.9657726085713305
-46.039999999999999,4.9653147461420772,-0,4.9653147461420772
-46.012500000000003,4.964856398531726,-0,4.964856398531726
-45.984999999999999,4.9643975649706125,-0,4.9643975649706125
-45.957499999999996,4.9639382446874514,-0,4.9639382446874514
-45.93,4.9634784369093214,-0,4.9634784369093214
-45.902500000000003,4.9630181408616778,-0,4.9630181408616778
-45.875,4.9625573557683271,-0,4.9625573557683271
-45.847499999999997,4.9620960808514463,-0,4.9620960808514463
-45.82,4.9616343153315592,-0,4.9616343153315592
-45.792500000000004,4.9611720584275378,-0,4.9611720584275378
-45.765000000000001,4.9607093093566093,-0,4.9607093093566093
-45.737499999999997,4.9602460673343307,-0,4.9602460673343307
-45.710000000000001,4.9597823315746066,-0,4.9597823315746066
-45.682499999999997,4.9593181012896661,-0,4.9593181012896661
-45.655000000000001,4.9588533756900688,-0,4.9588533756900688
-45.627499999999998,4.9583881539846981,-0,4.9583881539846981
-45.600000000000001,4.9579224353807563,-0,4.9579224353807563
